Removed Layers,ASR
[0],0.9466666666666667
[1],0.9466666666666667
[2],0.10999999999999999
[3],0.09666666666666668
[4],0.07666666666666666
[5],0.09333333333333338
[6],0.1266666666666667
[7],0.09333333333333338
[8],0.13
[9],0.09666666666666668
[10],0.10666666666666669
[11],0.1233333333333333
[12],0.09999999999999998
[13],0.10999999999999999
[14],0.09999999999999998
[15],0.09333333333333338
[16],0.10333333333333339
[17],0.08666666666666667
[18],0.07666666666666666
[19],0.09666666666666668
[20],0.08666666666666667
[21],0.1466666666666666
[22],0.07999999999999996
[23],0.09666666666666668
[24],0.1266666666666667
[25],0.10999999999999999
[26],0.1433333333333333
[27],0.10333333333333339
[28],0.13
[29],0.10666666666666669
[30],0.08666666666666667
